HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM4186	"AY411324,AY411325,AY411326"	55738	ARFGAP1	Molecular function unclassified	Biological process unclassified	2.93E-01	4.05E-01	1.00E+00	1.00E+00	8.90E-03	8.90E-07	1.00E-04	1.93E-03	1.93E-07	1.00E-04	60	4.12	1.12	5.24	4.34	0.24	4.58	1	0.07	1.33	0.84	3.24	0.14	0	0.14	0	0	0	1.12	0	1.28	0	0	0	0	0	0	1.00E+00	1.25E-01	-1.00E-03	-1577.293	7.17E-01	9.96E+02	6.34E+01	-1577.292	7.17E-01	1.57E+01	2.63	20	58559901
HCM0455	"AY400131,AY400132,AY400133"	23429	RYBP	Transcription cofactor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.09E-04	1.09E-08	1.00E-04	1.09E-04	1.09E-08	1.00E-04	40	10.03	1.57	11.6	12.15	3.2	15.35	4.73	0.36	0.37	0	5.46	1.88	1.03	2.91	0	0	0	0.49	0	0.45	0	0	0	0	0	0	4.32E-01	1.89E-02	1.47E-02	-771.2941	2.70E-01	4.95E+00	1.00E-04	-771.3089	2.70E-01	1.00E+03	1.87	3	77173843
HCM7318	"AY420720,AY420721,AY420722"	25828	TXN2	Other oxidoreductase->Oxidoreductase	Sulfur redox metabolism->Sulfur metabolism	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.31E-04	1.31E-08	1.00E-04	1.31E-04	1.31E-08	1.00E-04	51	28.02	4.58	32.6	1.4	2.55	3.95	2.84	0.2	2.7	0	5.74	1.24	0.18	1.42	0	0	0	0.29	0	0.61	0	0	0.08	0	0	0.08	1.00E+00	2.92E-01	-4.17E-03	-888.4238	5.91E-01	4.21E+00	8.38E-01	-888.4197	5.91E-01	5.02E+00	2.21	22	20628380
HCM1242	"AY402492,AY402493,AY402494"	2294	FOXF1	Other transcription factor->Transcription factor	"Developmental processes;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.85E-01	4.85E-01	1.00E+00	1.00E+00	2.95E-04	2.95E-08	1.00E-04	2.95E-04	2.95E-08	1.00E-04	52	4.13	4.78	8.91	4.57	0.56	5.13	2.53	0.3	1.18	0	4.01	1.68	0.21	1.89	0.04	0	0	0.57	0	0.87	0	0	0	0	0	0	4.47E-01	1.00E+00	8.85E-03	-313.8514	2.52E-01	1.00E+03	1.00E-04	-313.8602	2.52E-01	1.00E+03	2.51	16	76295419
HCM3244	"AY408498,AY408499,AY408500"	10158		Molecular function unclassified	Biological process unclassified	7.07E-03	4.73E-01	1.00E+00	1.00E+00	6.41E-02	6.41E-06	1.00E-04	1.23E-04	1.23E-08	1.00E-04	49	5.16	3.91	9.07	7.21	6.66	13.87	3.18	0	0	0.63	3.81	1.74	0.37	2.11	0	0	0	0.76	0	0.74	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.53E-03	-378.1406	1.00E+00	1.00E+03	1.75E+02	-378.1391	1.00E+00	5.72E+00	0.76	1	47158058
HCM0185	"AY399321,AY399322,AY399323"			Molecular function unclassified	Biological process unclassified	4.87E-01	4.87E-01	1.00E+00	1.00E+00	1.24E-04	1.24E-08	1.00E-04	1.24E-04	1.24E-08	1.00E-04	44	9.82	3.17	12.99	7.22	2.07	9.29	1.96	0.27	1.19	0	3.42	1.08	0	1.08	0	0	0	0.7	0	0.48	0	0	0	0	0	0	1.00E+00	1.00E+00	-5.46E-03	-1503.013	5.55E-01	3.63E+00	2.29E+00	-1503.008	5.55E-01	1.58E+00	0.8	X	61060654
HCM2272	"AY405582,AY405583,AY405584"			All non-DNA ligases->Ligase	Proteolysis->Protein metabolism and modification	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.36E-04	1.36E-08	1.00E-04	1.36E-04	1.36E-08	1.00E-04	38	5.29	2.88	8.17	17.8	1.83	19.63	2.56	0.64	0.54	0	3.74	1.28	1.72	3	0	0	0	0.78	0.07	0.42	0	0	0	0	0	0	4.42E-01	5.30E-03	1.07E-02	-699.194	4.44E-01	5.23E+00	1.00E-04	-699.2048	4.44E-01	1.00E+03	0.81	10	93251969
HCM3256	"AY408534,AY408535,AY408536"	1678	TIMM8A	Other miscellaneous function protein->Miscellaneous function	Hearing->Sensory perception;Protein targeting->Protein targeting and localization	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.32E-04	1.32E-08	1.00E-04	1.32E-04	1.32E-08	1.00E-04	42	25.1	1.98	27.08	16.56	1.27	17.83	0	0.08	0	0	0.08	1.59	0.32	1.91	0.09	0	0	0.62	0	1.08	0	0	0	0.1	0	0.1	4.58E-01	1.00E+00	5.44E-03	-241.6155	1.74E-01	4.59E+00	1.00E-04	-241.621	1.74E-01	1.00E+03	0.82	X	91478471
HCM3641	"AY409689,AY409690,AY409691"	1153	CIRBP	Other RNA-binding protein->Nucleic acid binding	Biological process unclassified	1.05E-01	4.67E-01	1.00E+00	1.00E+00	1.20E-02	1.20E-06	1.00E-04	1.31E-04	1.31E-08	1.00E-04	64	12.34	1.33	13.67	0.72	0.82	1.54	0	0	0	0	0	0.15	0	0.15	0	0	0	2.54	0	0.88	0	0	0	0	0	0	4.36E-01	1.00E+00	1.29E-02	-555.3635	6.17E-01	1.00E+03	1.00E-04	-555.3764	6.17E-01	1.00E+03	4.04	19	1095579
HCM0725	"AY400941,AY400942,AY400943"			Molecular function unclassified	Biological process unclassified	4.88E-01	4.88E-01	1.00E+00	1.00E+00	1.10E-04	1.10E-08	1.00E-04	1.10E-04	1.10E-08	1.00E-04	42	10.86	4.54	15.4	6.48	2.44	8.92	1.72	0.27	0	0	1.99	1.32	0.6	1.92	0	0	0	0.44	0	0.95	0	0	0	0	0	0	4.41E-01	3.30E-01	1.11E-02	-426.5717	5.58E-01	2.74E+01	1.00E-04	-426.5827	5.58E-01	1.00E+03	1.87	3	76485587
HCM1831	"AY404259,AY404260,AY404261"	7341	UBL1	Other miscellaneous function protein->Miscellaneous function	Chromosome segregation->Mitosis->Cell cycle	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.44E-04	1.44E-08	1.00E-04	1.44E-04	1.44E-08	1.00E-04	43	33.5	0.9	34.4	9.58	2.29	11.87	3.18	0	1.07	0	4.25	1.78	0	1.78	0	0	0	0.32	0	0.45	0	0	0	0	0	0	4.52E-01	2.03E-02	7.35E-03	-282.0162	1.91E-01	4.89E+00	1.00E-04	-282.0235	1.91E-01	1.00E+03	0.77	2	199997215
HCM1340	"AY402786,AY402787,AY402788"			Molecular function unknown	Biological process unknown	4.97E-01	4.97E-01	1.00E+00	1.00E+00	1.05E-04	1.05E-08	1.00E-04	1.05E-04	1.05E-08	1.00E-04	38	0	4.93	4.93	7.09	2.07	9.16	5.74	0	3.47	0	9.21	4.56	0	4.56	0	0	0	1.44	0	0.54	0	0	0	0	0	0	1.00E+00	2.34E-01	-4.60E-04	-326.3475	5.30E-01	4.30E+00	5.89E-01	-326.3471	5.30E-01	7.29E+00	0.93	12	35030556
HCM5908	"AY416490,AY416491,AY416492"	26017		Molecular function unclassified	Biological process unclassified	4.68E-01	1.08E-01	1.00E+00	1.00E+00	1.73E-04	1.73E-08	1.00E-04	1.36E-02	1.36E-06	1.00E-04	51	32.58	2.92	35.5	8.89	4.87	13.76	0.58	0	1.75	0	2.33	1.44	0.95	2.39	0	0	0.18	0.4	0	0.58	0	0	0	0	0	0	4.09E-01	3.62E-01	2.64E-02	-522.2896	5.82E-01	1.00E+03	1.00E-04	-522.316	5.82E-01	1.00E+03	1.38	19	16717956
HCM4622	"AY412632,AY412633,AY412634"	9403		Molecular function unknown	Biological process unclassified	2.42E-01	1.37E-01	1.00E+00	1.00E+00	1.29E-02	1.29E-06	1.00E-04	1.81E-02	1.81E-06	1.00E-04	39	17.12	2.39	19.51	9.09	4.26	13.35	3.74	0.53	0.78	0	5.05	1.52	1.09	2.61	0.09	0.64	0	0.5	0	0.71	0	0	0	0	0	0	1.00E+00	4.59E-01	-5.71E-04	-390.103	7.11E-01	9.99E+02	2.84E+02	-390.1024	7.11E-01	3.52E+00	1.03	1	86846533
HCM5611	"AY415599,AY415600,AY415601"	6885	MAP3K7	Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Receptor protein serine/threonine kinase signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	4.30E-01	8.16E-04	1.00E+00	1.00E+00	1.20E-04	1.20E-08	1.00E-04	1.71E-02	1.71E-06	1.00E-04	36	5.78	2.6	8.38	7.3	5.18	12.48	0.79	0.5	0.56	0	1.85	0.49	2.13	2.62	0.14	0	0	0.61	0	0.31	0	0	0	0	0	0	3.49E-01	1.66E-01	7.48E-02	-1848.83	3.90E-01	1.00E+03	1.00E-04	-1848.905	3.90E-01	1.00E+03	1.4	6	90461016
HCM3819	"AY410223,AY410224,AY410225"	4821	NKX2-2	Homeotic transcription factor->Transcription factor	"Heart development->Mesoderm development->Developmental processes;Neurogenesis->Ectoderm development->Developmental processes;Homeostasis;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.83E-01	4.83E-01	1.00E+00	1.00E+00	2.13E-04	2.13E-08	1.00E-04	2.13E-04	2.13E-08	1.00E-04	45	6.84	1.16	8	8.63	0.55	9.18	6.71	1.18	0.06	0	7.95	1.79	0.31	2.1	0	0.12	0	0.64	0	1.24	0	0.09	0	0	0	0.09	4.33E-01	1.00E+00	1.44E-02	-684.1826	1.76E-01	4.97E+00	1.00E-04	-684.1971	1.76E-01	1.00E+03	1.19	20	21450147
HCM2968	"AY407670,AY407671,AY407672"			Molecular function unclassified	Biological process unclassified	4.81E-01	4.81E-01	1.00E+00	1.00E+00	2.28E-04	2.28E-08	1.00E-04	2.28E-04	2.28E-08	1.00E-04	60	11.74	0.5	12.24	3.81	0.13	3.94	1	0.64	0	0	1.64	0.67	0	0.67	0	0	0	0.69	0	0.3	0	0	0	0	0	0	4.27E-01	1.00E+00	1.68E-02	-508.2518	3.31E-01	5.48E+00	1.00E-04	-508.2685	3.31E-01	1.00E+03	2.35	16	79916949
HCM0683	"AY400815,AY400816,AY400817"	2828	GPR4	G-protein coupled receptor->Receptor	Biological process unclassified	4.95E-01	4.95E-01	1.00E+00	1.00E+00	2.62E-04	2.62E-08	1.00E-04	2.62E-04	2.62E-08	1.00E-04	51	38.66	3.66	42.32	2.21	4.42	6.63	1.96	0.48	1.19	0	3.63	1.75	0	1.75	0	0	0	0.56	0	1.8	0	0	0	0	0	0	4.29E-01	1.00E+00	1.60E-02	-807.4795	4.35E-01	5.60E+00	1.00E-04	-807.4955	4.35E-01	1.00E+03	1.13	19	43603433
HCM7428	"AY421050,AY421051,AY421052"	6227	RPS21	Ribosomal protein->Nucleic acid binding	Protein biosynthesis->Protein metabolism and modification	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.31E-04	1.31E-08	1.00E-04	1.31E-04	1.31E-08	1.00E-04	60	7.75	2.5	10.25	4.58	1.02	5.6	0.81	0	0.58	0	1.39	0.72	0.37	1.09	0	0	0.14	0.71	0	3.04	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.15E-03	-316.8352	4.16E-01	4.31E+00	6.24E-01	-316.833	4.16E-01	6.91E+00	2.63	20	57729860
HCM4544	"AY412398,AY412399,AY412400"	127018	LYPLAL1	Molecular function unclassified	Biological process unclassified	4.84E-01	4.84E-01	1.00E+00	1.00E+00	1.24E-04	1.24E-08	1.00E-04	1.24E-04	1.24E-08	1.00E-04	36	4.19	2.63	6.82	12.16	4.63	16.79	2.61	2.76	0.58	0	5.95	1.24	0	1.24	0	0	0	0.64	0	0.58	0.19	0	0	0	0	0	1.00E+00	4.38E-01	-8.50E-04	-1110.353	9.18E-01	9.75E+02	6.45E+02	-1110.352	9.19E-01	1.54E+00	0.82	1	195882972
HCM7271	"AY420579,AY420580,AY420581"	8992	ATP6V0E	Other hydrolase->Hydrolase;Nucleotide phosphatase->Phosphatase;Hydrogen transporter->Cation transporter->Transporter	Cation transport->Ion transport->Transport	4.45E-01	4.47E-01	1.00E+00	1.00E+00	8.20E-03	8.20E-07	1.00E-04	7.38E-03	7.38E-07	1.00E-04	45	31.53	2.09	33.62	4.82	5.11	9.93	0.99	0.16	2.77	0	3.92	1.05	1.23	2.28	0	0	0	0.46	0	1.23	0	0	0.1	0	0	0.1	4.42E-01	1.00E+00	1.05E-02	-382.6303	4.25E-01	1.00E+03	1.00E-04	-382.6408	4.25E-01	1.00E+03	2.78	5	175369911
HCM5645	"AY415701,AY415702,AY415703"	6352	CCL5	Chemokine->Signaling molecule	Cytokine/chemokine mediated immunity->Immunity and defense;Ligand-mediated signaling->Cell communication->Signal transduction;Cytokine and chemokine mediated signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.73E-04	1.73E-08	1.00E-04	1.73E-04	1.73E-08	1.00E-04	45	19.89	4.72	24.61	1.48	4.07	5.55	0.28	0.19	3.87	0	4.34	1.07	1.19	2.26	0	0	0	0.39	0	0.62	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.33E-03	-350.7821	5.03E-01	3.82E+00	2.35E+00	-350.7798	5.03E-01	1.62E+00	1.68	17	34003871
HCM5586	"AY415524,AY415525,AY415526"	6591	SNAI2	KRAB box transcription factor->Zinc finger transcription factor->Transcription factor	"Determination of dorsal/ventral axis->Developmental processes;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	1.21E-02	4.71E-01	1.00E+00	1.00E+00	1.18E-02	1.18E-06	1.00E-04	1.16E-04	1.16E-08	1.00E-04	41	3.26	1.79	5.05	15.1	1.26	16.36	1.64	0.12	1.1	2.8	5.66	0.22	1.15	1.37	0	0	0	0.38	0	1.42	0	0	0	0	0	0	1.00E+00	2.27E-01	-1.54E-03	-1051.367	4.26E-01	1.00E+03	9.38E+00	-1051.365	4.26E-01	1.07E+02	0.3	8	47387533
HCM0640	"AY400686,AY400687,AY400688"	6277	S100A6	Other select calcium binding proteins->Select calcium binding protein	Biological process unclassified	4.75E-01	5.48E-02	1.00E+00	1.00E+00	1.70E-04	1.70E-08	1.00E-04	1.99E-02	1.99E-06	1.00E-04	49	15.86	2.71	18.57	7.07	1.69	8.76	2.88	0	3.58	0	6.46	0.23	0	0.23	0	0	0	0.28	0	0.76	0	0	0	0	0	0	1.00E+00	1.57E-01	-5.11E-03	-398.7245	2.57E-01	2.27E+01	1.00E-04	-398.7194	2.57E-01	1.00E+03	1	1	127788442
HCM0844	"AY401298,AY401299,AY401300"			Small GTPase->G-protein->Select regulatory molecule	Signal transduction	4.40E-01	2.32E-03	1.00E+00	1.00E+00	2.35E-04	2.35E-08	1.00E-04	6.09E-02	6.09E-06	1.00E-04	40	6.24	0.74	6.98	15.25	3.97	19.22	5.08	1.32	2.94	0	9.34	3.09	0.72	3.81	0.07	0	0	0.26	0	0.47	0	0	0	0	0	0	3.83E-01	4.38E-02	4.41E-02	-908.1902	3.71E-01	1.00E+03	1.00E-04	-908.2343	3.71E-01	1.00E+03	1.75	9	65982933
HCM6914	"AY419508,AY419509,AY419510"	7032	TFF2	Protein/peptide hormone->Signaling molecule;Growth factor->Signaling molecule	Biological process unclassified	2.56E-01	2.49E-01	1.00E+00	1.00E+00	1.71E-02	1.71E-06	1.00E-04	1.75E-02	1.75E-06	1.00E-04	50	7.8	1.61	9.41	9.13	1.19	10.32	3.05	1.39	2.49	0	6.93	1.53	2.21	3.74	0.06	0	0	0.23	0	1.54	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.02E-03	-445.276	9.84E-01	9.97E+02	6.89E+02	-445.2749	9.86E-01	1.47E+00	3.49	21	29332195
HCM4325	"AY411741,AY411742,AY411743"	30834	ZNRD1	Other transcription factor->Transcription factor	"mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.14E-04	1.14E-08	1.00E-04	1.14E-04	1.14E-08	1.00E-04	43	8.19	1.18	9.37	13.42	4.59	18.01	2.94	1.92	3.47	0	8.33	2.81	0.39	3.2	0	0	0	0.64	0	0.38	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.28E-03	-287.7008	5.66E-01	4.04E+00	1.84E+00	-287.6985	5.66E-01	2.20E+00	0.21	6	30143297
HCM6256	"AY417534,AY417535,AY417536"	11142	PKIG	Kinase modulator->Select regulatory molecule	Signal transduction	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.33E-04	1.33E-08	1.00E-04	1.33E-04	1.33E-08	1.00E-04	45	21	6.14	27.14	6.44	7.01	13.45	1.8	0.18	1.68	0	3.66	0.92	0	0.92	0.42	0	0	0.47	0	0.51	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.87E-03	-385.7972	4.98E-01	4.29E+00	6.52E-01	-385.7954	4.98E-01	6.58E+00	1.48	20	39885816
HCM3980	"AY410706,AY410707,AY410708"	26517	TIMM13	Other miscellaneous function protein->Miscellaneous function	Hearing->Sensory perception;Protein targeting->Protein targeting and localization	4.88E-01	4.88E-01	1.00E+00	1.00E+00	2.20E-04	2.20E-08	1.00E-04	2.20E-04	2.20E-08	1.00E-04	55	37.57	1.38	38.95	1.85	1.55	3.4	1.26	1.4	2.29	0	4.95	1.83	0.25	2.08	0	0	0	0.81	0	1.36	0	0	0	0	0.06	0.06	1.00E+00	1.00E+00	-2.56E-05	-308.1014	5.33E-01	9.45E+02	3.41E+01	-308.1013	5.33E-01	2.77E+01	3.43	19	2257750
HCM6662	"AY418752,AY418753,AY418754"	26521	TIMM8B	Other miscellaneous function protein->Miscellaneous function	Hearing->Sensory perception;Protein targeting->Protein targeting and localization	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.23E-04	1.23E-08	1.00E-04	1.23E-04	1.23E-08	1.00E-04	41	23.57	1.83	25.4	10.96	5.74	16.7	1.23	0	2.4	0	3.63	0.57	2.11	2.68	0	0	0	0.45	0	0.75	0	0	0.08	0	0	0.08	1.00E+00	2.75E-01	-1.48E-03	-270.522	3.39E-01	4.45E+00	1.00E-04	-270.5205	3.39E-01	1.00E+03	1.18	11	108884318
HCM7129	"AY420153,AY420154,AY420155"	79145		Molecular function unclassified	Biological process unclassified	4.84E-01	4.88E-02	1.00E+00	1.00E+00	1.25E-04	1.25E-08	1.00E-04	1.96E-02	1.96E-06	1.00E-04	40	6.45	1.68	8.13	12.79	2.27	15.06	0.49	0	0.64	0	1.13	1.02	0.75	1.77	0.05	0	0	0.49	0	0.18	0	0	0	0	0	0	1.00E+00	1.00E+00	-5.84E-05	-369.8759	4.90E-01	8.02E+02	1.00E+03	-369.8759	4.90E-01	8.02E-01	0.58	8	54666912
HCM3423	"AY409035,AY409036,AY409037"	29909		G-protein coupled receptor->Receptor	Biological process unclassified	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.16E-04	1.16E-08	1.00E-04	1.16E-04	1.16E-08	1.00E-04	40	8.69	2.79	11.48	6.97	2.42	9.39	1.21	0.39	0	0	1.6	2.74	0.22	2.96	0	0	0	0.45	0	0.41	0	0.08	0	0	0	0.08	1.00E+00	1.00E+00	-5.29E-03	-1671.26	5.88E-01	4.19E+00	9.11E-01	-1671.254	5.88E-01	4.60E+00	1.01	3	155424736
HCM6808	"AY419190,AY419191,AY419192"	2952	GSTT1	Other transferase->Transferase	Detoxification->Immunity and defense	4.88E-01	4.88E-01	1.00E+00	1.00E+00	1.16E-04	1.16E-08	1.00E-04	1.16E-04	1.16E-08	1.00E-04	48	20.9	2	22.9	14.68	1.01	15.69	1.85	0.48	2.14	0	4.47	1.23	0.36	1.59	0	0	0	0.18	0	1.44	0	0	0	0	0.07	0.07	1.00E+00	3.16E-01	-9.70E-05	-686.7971	8.06E-01	1.00E+03	5.49E+02	-686.797	8.06E-01	1.83E+00	2.18	22	8178126
HCM2228	"AY405450,AY405451,AY405452"	120	ADD3	Non-motor actin binding protein->Actin family cytoskeletal protein->Cytoskeletal protein	Cell structure->Cell structure and motility;Protein complex assembly->Protein metabolism and modification	4.85E-01	4.85E-01	1.00E+00	1.00E+00	1.16E-04	1.16E-08	1.00E-04	1.16E-04	1.16E-08	1.00E-04	38	12.86	2.43	15.29	6.52	1.27	7.79	3.27	0	0	0	3.27	1.41	1.28	2.69	0	0	0	0.53	0	0.37	0	0	0	0.1	0	0.1	1.00E+00	1.00E+00	-1.54E-04	-427.8842	3.88E-01	9.94E+02	3.83E+02	-427.8841	3.89E-01	2.62E+00	0.65	10	111751727
HCM5417	"AY415017,AY415018,AY415019"	3607	ILF1	Other transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.12E-01	5.16E-03	1.00E+00	1.00E+00	1.12E-04	1.12E-08	1.00E-04	1.75E-02	1.75E-06	1.00E-04	50	26.38	0.07	26.45	7.29	0.34	7.63	0.3	0.37	0.11	0	0.78	0.7	0.57	1.27	0	0	0	0.92	0	0.34	0	0	0	0.09	0	0.09	1.00E+00	2.95E-01	-1.92E-03	-2075.328	5.34E-01	1.00E+03	1.67E+01	-2075.327	5.34E-01	6.00E+01	1.13	17	83732545
HCM6843	"AY419295,AY419296,AY419297"			Other ion channel->Ion channel	Cation transport->Ion transport->Transport	7.50E-02	4.57E-01	1.00E+00	1.00E+00	7.07E-03	7.07E-07	1.00E-04	1.20E-04	1.20E-08	1.00E-04	37	3.08	2.87	5.95	8.6	3.82	12.42	1.79	1.25	0.36	0	3.4	1.42	0.34	1.76	0	0	0	0.84	0	0.78	0.11	0	0	0	0	0	1.00E+00	2.30E-01	-6.07E-04	-1014.332	6.57E-01	1.00E+03	1.97E+02	-1014.331	6.57E-01	5.07E+00	1.08	15	27704733
HCM3652	"AY409722,AY409723,AY409724"	2957	GTF2A1	Basal transcription factor->Transcription factor	"mRNA transcription initiation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.41E-01	1.20E-02	1.00E+00	1.00E+00	1.10E-04	1.10E-08	1.00E-04	1.59E-02	1.59E-06	1.00E-04	40	12.28	1.5	13.78	14.1	4.31	18.41	2.77	0.95	3.77	0	7.49	3.33	0.63	3.96	0	0	0	0.48	0	0.6	0	0	0	0	0	0	4.45E-01	3.83E-01	9.55E-03	-1414.207	4.63E-01	1.00E+03	1.00E-04	-1414.217	4.63E-01	1.00E+03	0.66	14	61968217
HCM3861	"AY410349,AY410350,AY410351"	80776		Molecular function unclassified	Biological process unclassified	4.30E-02	4.69E-01	1.00E+00	1.00E+00	8.67E-03	8.67E-07	1.00E-04	1.36E-04	1.36E-08	1.00E-04	52	37.31	4.47	41.78	1.43	7.08	8.51	1.38	0.13	0.27	0	1.78	0.57	0.4	0.97	0	0	0	1.16	0	0.99	0	0	0	0	0	0	4.17E-01	3.08E-01	2.19E-02	-864.5179	5.20E-01	1.00E+03	1.00E-04	-864.5398	5.20E-01	1.00E+03	0.91	19	39623468
HCM4773	"AY413085,AY413086,AY413087"	27258	LSM3	mRNA splicing factor->mRNA processing factor->Nucleic acid binding	"mRNA splicing->Pre-mRNA processing->Nucleoside, nucleotide and nucleic acid metabolism"	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.24E-04	1.24E-08	1.00E-04	1.24E-04	1.24E-08	1.00E-04	44	6.87	4.31	11.18	12.25	6.67	18.92	1.47	0.9	0	4.93	7.3	2.25	0.59	2.84	0	0	0.16	0.46	0	0.55	0	0	0	0	0	0	4.30E-01	4.41E-01	1.57E-02	-419.6879	3.36E-01	4.94E+00	1.00E-04	-419.7036	3.36E-01	1.00E+03	1.45	3	17309647
HCM3574	"AY409488,AY409489,AY409490"	27230		Other chaperones->Chaperone;Ribosomal protein->Nucleic acid binding	Stress response->Immunity and defense;Protein folding->Protein metabolism and modification;Proteolysis->Protein metabolism and modification	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.25E-04	1.25E-08	1.00E-04	1.25E-04	1.25E-08	1.00E-04	40	15.66	0.99	16.65	10.6	1.26	11.86	1.47	0.06	0.36	0.33	2.22	1.03	2.63	3.66	0	0	0.7	0.77	0	0.32	0	0	0	0	0	0	4.62E-01	3.47E-01	4.59E-03	-229.6743	1.60E-01	4.38E+00	1.00E-04	-229.6789	1.60E-01	1.00E+03	1.01	3	154767039
HCM1038	"AY401880,AY401881,AY401882"			Other transferase->Transferase	"Regulation of lipid, fatty acid and steroid metabolism->Lipid, fatty acid and steroid metabolism;Phospholipid metabolism->Lipid, fatty acid and steroid metabolism"	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.10E-04	1.10E-08	1.00E-04	1.10E-04	1.10E-08	1.00E-04	42	19.89	1.66	21.55	9.73	2.21	11.94	2.65	1.66	1.91	0	6.22	1.56	1.18	2.74	0	0	0	0.55	0	0.74	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.11E-04	-348.8573	1.58E-01	3.06E-01	5.74E+00	-348.8571	1.58E-01	5.33E-02	0.57	2	26869734
HCM7372	"AY420882,AY420883,AY420884"	53917	RAB24	Small GTPase->G-protein->Select regulatory molecule	Biological process unclassified	4.89E-01	4.89E-01	1.00E+00	1.00E+00	1.32E-04	1.32E-08	1.00E-04	1.32E-04	1.32E-08	1.00E-04	48	19.5	1.32	20.82	4.61	1.91	6.52	0.93	0.41	3.12	0	4.46	3.54	0.04	3.58	0.07	1.05	0	0.15	0	0.6	0	0	0	0	0	0	4.13E-01	4.46E-01	2.42E-02	-357.052	6.17E-01	9.95E+02	1.00E-04	-357.0761	6.17E-01	1.00E+03	2.81	5	180170745
HCM3092	"AY408042,AY408043,AY408044"	5935	RBM3	Other RNA-binding protein->Nucleic acid binding	Biological process unclassified	6.65E-02	4.73E-01	1.00E+00	1.00E+00	7.79E-03	7.79E-07	1.00E-04	1.09E-04	1.09E-08	1.00E-04	48	36.24	2.14	38.38	4.87	2.81	7.68	4.63	0.59	1.02	0.95	7.19	0.38	0.97	1.35	0	0	0	0.11	0	0.46	0	0.08	0	0.13	0	0.21	4.39E-01	1.00E+00	1.18E-02	-675.0154	4.68E-01	1.00E+03	1.00E-04	-675.0272	4.68E-01	1.00E+03	0.68	X	46570046
HCM6897	"AY419457,AY419458,AY419459"	5121	PCP4	Molecular function unclassified	Biological process unclassified	4.97E-01	4.97E-01	1.00E+00	1.00E+00	1.16E-04	1.16E-08	1.00E-04	1.16E-04	1.16E-08	1.00E-04	44	6.2	2.15	8.35	3.63	0.61	4.24	5.68	2.01	1.08	0.92	9.69	1.34	0.34	1.68	0	0	0	0.49	0	1.47	0	0.04	0	0	0	0.04	4.55E-01	3.91E-01	6.50E-03	-288.1554	5.26E-01	4.73E+00	1.00E-04	-288.1619	5.26E-01	1.00E+03	2.88	21	26720834
