chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	lrtAllPValue	lrtAllIsFdr	lrtPrimateBrPValue	lrtPrimateBrIsFdr	lrtPrimateClPValue	lrtPrimateClIsFdr	lrtRodentBrPValue	lrtRodentBrIsFdr	lrtRodentClPValue	lrtRodentClIsFdr	lrtHumanPValue	lrtHumanIsFdr	lrtChimpPValue	lrtChimpIsFdr	lrtHominidPValue	lrtHominidIsFdr	lrtMacaquePValue	lrtMacaqueIsFdr	bestHist	bestHistPP	nextBestHist	nextBestHistPP
chr2	178685519	178699149	refGene.NM_152945.1	0	+	178685519	178699149	0	9	300,123,127,123,180,130,85,164,193,	0,3715,5508,7740,8633,10975,11281,11580,13437,	0.30724	0	2	0	1	0	2	0	0.126682	0	0.452351	0	1	0	1	0	1	0	0	0	0	0
chr7	98283740	98298918	refGene.NM_152913.1.inc	400	-	98283740	98298918	255	7	27,113,203,85,167,160,265,	0,401,3239,7058,7835,11997,14913,	1	0	2	0	1	0	0.2715	0	0.0483102	0	1	0	1	0	2	0	2	0	0	0	0	0
chr13	26907892	26912504	refGene.NM_152912.1.inc	0	-	26907892	26912504	0	3	138,158,379,	0,1360,4233,	0.37867	0	2	0	1	0	2	0	2	0	0.478328	0	1	0	1	0	1	0	0	0	0	0
chr12	95827668	95869962	refGene.NM_152905.1	400	+	95827668	95869962	255	14	136,95,117,141,230,202,196,129,48,203,157,157,67,105,	0,2963,7861,10225,25216,26851,27438,30649,32817,33800,34879,35933,41672,42189,	1	0	0.0185245	0	1	0	0.00781284	0	0.468899	0	0.497966	0	1	0	1	0	1	0	0	0	0	0
chr17	19954421	20075727	refGene.NM_152904.1.inc	0	+	19954421	20075727	0	4	46,1580,208,65,	0,93816,116896,121241,	1	0	0.429097	0	1	0	0.492688	0	1	0	1	0	1	0	0.494618	0	1	0	0	0	0	0
chr13	40602622	40604647	refGene.NM_152903.1	0	-	40602622	40604647	0	1	2025,	0,	1	0	2	0	2	0	2	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0
chr1	166414939	166435908	refGene.NM_152902.1	0	+	166414939	166435908	0	7	104,180,100,132,96,63,144,	0,4824,5701,12291,17469,19841,20825,	1	0	0.117284	0	1	0	0.0849003	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0
chr7	19151009	19151510	refGene.NM_152898.1	0	-	19151009	19151510	0	1	501,	0,	1	0	2	0	1	0	2	0	0.497236	0	0.475761	0	0.464615	0	1	0	1	0	0	0	0	0
chr9	6403490	6496179	refGene.NM_152896.1	0	+	6403490	6496179	0	16	153,231,260,219,110,187,124,108,105,107,163,141,97,158,99,147,	0,7421,20423,47082,61900,64131,68152,68501,73330,80335,83707,84527,86344,87061,91102,92542,	1	0	0.0878314	0	0.478825	0	0.470259	0	0.427135	0	1	0	1	0	1	0	1	0	0	0	0	0
chr7	101892532	101900501	refGene.NM_152892.1	0	+	101892532	101900501	0	15	80,235,117,141,105,126,115,101,208,73,141,92,156,113,141,	0,736,1073,2258,2638,2981,3182,3473,3774,4493,4661,7137,7373,7611,7828,	0.27761	0	2	0	2	0	2	0	2	0	0.496859	0	1	0	2	0	2	0	0	0	0	0
chr16	2774729	2775958	refGene.NM_152891.1.inc	0	-	2774729	2775958	0	4	75,170,272,158,	0,274,647,1071,	1	0	2	0	2	0	1	0	1	0	2	0	2	0	2	0	2	0	0	0	0	0
chr3	127725865	127744111	refGene.NM_152889.1	0	+	127725865	127744111	0	3	97,83,846,	0,11938,17400,	1	0	2	0	2	0	2	0	2	0	0.476506	0	1	0	2	0	2	0	0	0	0	0
chr2	234007779	234037644	refGene.NM_152879.1.inc	0	+	234007779	234037644	0	24	90,133,107,126,103,163,109,140,85,95,100,274,150,129,97,111,97,108,114,135,152,112,93,96,	0,374,1423,1921,2982,3822,7492,11228,12317,13692,13881,14708,15587,16527,17569,20368,22504,22826,23889,25362,25799,27953,28248,29769,	1	0	0.351489	0	0.218431	0	1	0	1	0	2	0	2	0	2	0	1	0	0	0	0	0
chrX	46825487	46837290	refGene.NM_152869.1	0	+	46825487	46837290	0	6	163,183,216,132,155,51,	0,3273,8631,10533,10916,11752,	0.20368	0	1	0	1	0	0.113106	0	1	0	2	0	2	0	2	0	1	0	0	0	0	0
chr20	61343293	61356247	refGene.NM_152864.1	0	-	61343293	61356247	0	7	10,85,61,198,81,138,54,	0,1042,2527,6081,7318,8438,12900,	1	0	2	0	0.0985778	0	2	0	0.482129	0	0.0965842	0	1	0	0.143001	0	0.079976	0	0	0	0	0
chr2	218790438	218826883	refGene.NM_152862.1	0	+	218790438	218826883	0	10	74,35,113,46,187,94,127,101,101,25,	0,8449,11267,16881,21193,21920,27949,31893,32350,36420,	1	0	0.286943	0	0.305858	0	2	0	2	0	0.496662	0	0.494083	0	1	0	1	0	0	0	0	0
chr12	52008196	52015697	refGene.NM_152860.1	0	-	52008196	52015697	0	2	1275,21,	0,7480,	1	0	1	0	1	0	1	0	1	0	1	0	0.446387	0	1	0	1	0	0	0	0	0
chr22	22245723	22252377	refGene.NM_152855.1	1000	-	22245723	22252377	16711680	2	49,206,	0,6448,	4.7661e-06	1	2	0	3.10093e-07	1	2	0	2	0	2	0	2	0	2	0	4.02766e-07	1	130	0.11	472	0.11
chr20	44183874	44190238	refGene.NM_152854.1.inc	0	+	44183874	44190238	0	5	70,126,147,94,55,	0,404,781,1297,6309,	0.08079	0	0.444418	0	0.481829	0	0.104927	0	0.0523695	0	2	0	2	0	2	0	0.452947	0	0	0	0	0
chr11	59697086	59705776	refGene.NM_152851.1	400	-	59697086	59705776	255	5	92,106,57,135,147,	0,2468,5222,6793,8543,	0.02323	0	2	0	0.499436	0	2	0	2	0	1	0	0.468183	0	2	0	2	0	0	0	0	0
chr8	82876286	82914776	refGene.NM_152836.1	0	-	82876286	82914776	0	7	97,120,137,70,149,87,375,	0,883,1595,13828,22295,27933,38115,	1	0	0.484553	0	1	0	1	0	0.0637217	0	0.493769	0	0.497541	0	1	0	1	0	0	0	0	0
chr1	26313386	26321655	refGene.NM_152835.1	0	+	26313386	26321655	0	2	285,741,	0,7528,	1	0	0.439783	0	0.493592	0	0.495147	0	1	0	1	0	1	0	1	0	0.496432	0	0	0	0	0
chr2	659579	667345	refGene.NM_152834.1	0	-	659579	667345	0	5	96,94,55,121,57,	0,177,3228,5930,7709,	1	0	2	0	0.453472	0	2	0	0.0549737	0	0.49433	0	0.494003	0	2	0	2	0	0	0	0	0
chr7	115661823	115684772	refGene.NM_152829.1	0	+	115661823	115684772	0	6	86,253,336,216,159,189,	0,14486,15627,17226,17784,22760,	0.42936	0	0.491389	0	0.488398	0	2	0	2	0	0.494137	0	0.436124	0	1	0	1	0	0	0	0	0
chr19	51492173	51534719	refGene.NM_152795.1	0	+	51492173	51534719	0	15	26,191,146,85,113,209,107,148,119,191,105,272,118,82,98,	0,6821,8168,11144,11586,12074,15084,15429,23366,24699,28458,32130,34079,37828,42448,	1	0	1	0	1	0	0.160213	0	1	0	1	0	0.386069	0	1	0	1	0	0	0	0	0
chr7	30141277	30163689	refGene.NM_152793.1	0	+	30141277	30163689	0	3	162,123,111,	0,11040,22301,	1	0	2	0	2	0	2	0	1	0	2	0	2	0	2	0	2	0	0	0	0	0
chr2	70041292	70042324	refGene.NM_152792.1	0	-	70041292	70042324	0	1	1032,	0,	0.28749	0	2	0	2	0	2	0	2	0	1	0	0.268077	0	2	0	2	0	0	0	0	0
chr7	92029531	92057541	refGene.NM_152789.1	0	-	92029531	92057541	0	11	87,48,93,51,93,63,33,75,79,98,24,	0,3732,7541,13489,14821,15373,15868,16037,17035,19224,27986,	1	0	1	0	0.468741	0	2	0	2	0	0.496962	0	1	0	1	0	1	0	0	0	0	0
chrX	30759464	30787626	refGene.NM_152787.1	0	-	30759464	30787626	0	7	149,102,84,94,161,1447,102,	0,2624,11539,15124,21351,22689,28060,	1	0	1	0	1	0	2	0	2	0	2	0	2	0	2	0	1	0	0	0	0	0
chr9	115215594	115231487	refGene.NM_152786.1	0	+	115215594	115231487	0	13	151,136,58,101,37,173,151,58,77,88,77,64,215,	0,265,5614,7609,9055,9832,10672,11525,11850,12149,14653,15406,15678,	0.09023	0	2	0	2	0	2	0	2	0	0.223025	0	0.483354	0	2	0	2	0	0	0	0	0
chr7	47993451	48035060	refGene.NM_152782.1	0	-	47993451	48035060	0	10	120,93,168,116,85,163,41,104,62,122,	0,1458,6985,8701,18639,19835,21705,29932,38547,41487,	0.11038	0	2	0	1	0	2	0	2	0	0.487667	0	1	0	2	0	2	0	0	0	0	0
chr4	129061234	129105738	refGene.NM_152778.1	1000	-	129061234	129105738	16711680	12	207,248,104,135,109,56,145,114,241,44,92,62,	0,894,1230,10053,12355,18153,19223,21415,23122,29174,36871,44442,	0.00054	1	2	0	1	0	2	0	2	0	1	0	1	0	2	0	2	0	501	0.12	381	0.07
chr4	186616481	186619295	refGene.NM_152775.1.inc	0	-	186616481	186619295	0	2	1905,99,	0,2715,	1	0	1	0	1	0	1	0	0.0500562	0	0.361291	0	1	0	0.488774	0	0.401201	0	0	0	0	0
chr7	19728222	19731916	refGene.NM_152774.1	0	-	19728222	19731916	0	2	60,255,	0,3439,	1	0	1	0	1	0	0.498046	0	0.480165	0	1	0	0.497966	0	1	0	1	0	0	0	0	0
chr3	197502594	197529420	refGene.NM_152773.1	400	-	197502594	197529420	255	5	48,64,70,134,113,	0,4679,15616,24771,26713,	0.03329	0	2	0	0.0389344	0	2	0	2	0	0.495314	0	0.495147	0	1	0	0.0632967	0	0	0	0	0
chr12	105228983	105264438	refGene.NM_152772.1	0	+	105228983	105264438	0	9	157,136,121,221,137,188,182,173,245,	0,3282,7268,10410,12434,24563,24956,29750,35210,	1	0	0.419935	0	0.396818	0	1	0	0.195307	0	1	0	0.490278	0	1	0	1	0	0	0	0	0
chr4	81475946	82103790	refGene.NM_152770.1	0	+	81475946	82103790	0	6	111,131,91,143,130,96,	0,26985,247324,534224,609041,627748,	0.21563	0	0.175982	0	0.295599	0	2	0	2	0	0.274924	0	1	0	0.427664	0	0.45397	0	0	0	0	0
chr17	7247141	7248094	refGene.NM_152766.1.inc	0	-	7247141	7248094	0	4	111,81,32,52,	0,211,559,901,	0.35595	0	1	0	1	0	0.492864	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0
chr8	67568440	67590865	refGene.NM_152765.1	400	+	67568440	67590865	255	6	67,56,154,62,98,184,	0,2785,11723,16444,19888,22241,	1	0	0.0128139	0	1	0	1	0	0.488439	0	0.496808	0	0.492203	0	1	0	1	0	0	0	0	0
chr11	65358112	65377382	refGene.NM_152760.1	0	+	65358112	65377382	0	13	36,105,111,122,124,105,106,76,40,87,160,86,54,	0,15412,15854,16084,16365,16685,16989,17262,17574,18399,18564,18807,19216,	0.32682	0	1	0	0.490869	0	0.488034	0	1	0	1	0	1	0	0.49241	0	1	0	0	0	0	0
chr7	99555303	99560447	refGene.NM_152755.1	400	+	99555303	99560447	255	6	118,127,97,123,118,164,	0,2514,2736,3039,4769,4980,	0.05333	0	0.0164673	0	0.313165	0	2	0	2	0	0.493976	0	0.492775	0	0.390105	0	1	0	0	0	0	0
chr7	84466691	84589143	refGene.NM_152754.1	400	-	84466691	84589143	255	17	426,140,65,158,42,89,223,145,70,115,143,129,94,120,63,161,151,	0,7362,13342,15619,18812,20793,22951,37449,41233,42731,56277,65984,68751,73522,82077,98365,122301,	1	0	1	0	0.0319695	0	0.334071	0	0.487513	0	1	0	0.45759	0	0.00666841	0	0.420005	0	0	0	0	0
chr7	105408664	105460115	refGene.NM_152750.1.inc	0	+	105408664	105460115	0	17	151,98,95,105,149,190,172,103,99,227,172,251,182,14,32,49,41,	0,3209,13768,15267,20479,23515,31877,34128,34944,36863,39390,41215,43398,45699,47568,49809,51410,	0.17304	0	2	0	0.448274	0	2	0	2	0	0.446636	0	0.45295	0	2	0	2	0	0	0	0	0
chr7	8441868	8757924	refGene.NM_152745.1	0	+	8441868	8757924	0	2	54,762,	0,315294,	1	0	2	0	1	0	1	0	1	0	0.498307	0	0.498738	0	2	0	2	0	0	0	0	0
chr7	99605788	99612758	refGene.NM_152742.1	1000	-	99605788	99612758	16711680	10	254,176,140,147,131,163,81,323,159,166,	0,1031,1309,1549,1857,3605,4455,5342,5977,6804,	6.11675e-06	1	2	0	0.490004	0	2	0	2	0	2	0	2	0	2	0	0.482643	0	381	0.41	125	0.27
chr7	27532357	27668932	refGene.NM_152740.1	0	-	27532357	27668932	0	8	159,157,77,134,122,110,161,91,	0,4978,12127,16753,103157,106122,123259,136484,	0.25899	0	1	0	1	0	2	0	2	0	1	0	0.474498	0	0.497354	0	1	0	0	0	0	0
chr7	27169746	27171601	refGene.NM_152739.1	0	-	27169746	27171601	0	2	239,580,	0,1275,	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0
chr6	10538116	10538473	refGene.NM_152738.1	0	-	10538116	10538473	0	1	357,	0,	0.07336	0	2	0	2	0	2	0	2	0	0.279233	0	1	0	2	0	2	0	0	0	0	0
chr6	14085329	14086073	refGene.NM_152737.1	0	+	14085329	14086073	0	1	744,	0,	1	0	0.484267	0	0.477067	0	1	0	1	0	1	0	0.493642	0	0.483633	0	1	0	0	0	0	0
chr6	33530996	33532136	refGene.NM_152735.1.inc	0	+	33530996	33532136	0	1	1140,	0,	1	0	0.484116	0	1	0	0.397016	0	1	0	0.458205	0	0.49382	0	0.394498	0	1	0	0	0	0	0
chr6	36961780	36999195	refGene.NM_152734.1	400	+	36961780	36999195	255	8	2,208,214,152,140,130,124,95,	0,13399,16194,28257,28527,30418,33551,37320,	1	0	0.00379408	0	0.0434214	0	1	0	0.442723	0	1	0	0.276336	0	0.0257206	0	0.352937	0	0	0	0	0
chr6	43720813	43746664	refGene.NM_152732.1	0	+	43720813	43746664	0	5	227,166,130,147,161,	0,5276,10463,11478,25690,	0.19124	0	2	0	2	0	2	0	0.43279	0	2	0	2	0	2	0	2	0	0	0	0	0
chr6	56954624	56988104	refGene.NM_152731.1.inc	0	+	56954624	56988104	0	3	63,178,215,	0,10510,33265,	1	0	1	0	0.494247	0	0.295867	0	0.135761	0	1	0	0.369253	0	0.473761	0	1	0	0	0	0	0
chr6	116528786	116671880	refGene.NM_152729.1	0	+	116528786	116671880	0	12	93,92,72,107,80,85,175,98,119,162,169,116,	0,5313,7433,9919,14760,16930,120123,122103,136035,137256,138024,142978,	1	0	2	0	2	0	2	0	2	0	0.495082	0	1	0	2	0	2	0	0	0	0	0
chr16	55702155	55739071	refGene.NM_152727.1	0	+	55702155	55739071	0	15	180,180,75,72,84,90,99,87,60,134,55,52,134,237,108,	0,2545,4733,6753,8452,8818,10350,10931,12671,15117,17106,24032,26406,35342,36808,	1	0	1	0	1	0	2	0	2	0	0.431327	0	1	0	1	0	0.489149	0	0	0	0	0
chr10	16675398	16864039	refGene.NM_152724.1	0	-	16675398	16864039	0	7	103,133,115,83,119,121,1,	0,101629,159145,159524,161477,170996,188640,	1	0	1	0	1	0	1	0	0.49323	0	1	0	1	0	1	0	0.492142	0	0	0	0	0
chr11	85073807	85074710	refGene.NM_152723.1.inc	400	-	85073807	85074710	255	1	903,	0,	1	0	1	0	1	0	0.281029	0	0.0326118	0	2	0	2	0	2	0	1	0	0	0	0	0
chr11	124296243	124311112	refGene.NM_152722.1	0	-	124296243	124311112	0	7	303,71,74,94,282,342,85,	0,1250,1607,2202,2591,3590,14784,	1	0	0.489861	0	1	0	2	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0
chr18	65219460	65659599	refGene.NM_152721.1	0	+	65219460	65659599	0	8	66,108,115,120,190,139,118,140,	0,163242,198139,276489,297159,337720,356511,439999,	1	0	0.479457	0	0.482607	0	0.200418	0	0.496759	0	0.49518	0	0.496091	0	0.49241	0	0.489252	0	0	0	0	0
chr13	45174526	45186508	refGene.NM_152719.1	400	+	45174526	45186508	255	3	75,81,1191,	0,384,10791,	1	0	0.226539	0	0.0192945	0	1	0	1	0	2	0	2	0	2	0	1	0	0	0	0	0
chr11	60291677	60299722	refGene.NM_152717.1.inc	400	+	60291677	60299722	255	5	27,57,93,114,69,	0,3662,5763,6208,7976,	1	0	2	0	1	0	2	0	0.439807	0	1	0	1	0	0.0272783	0	1	0	0	0	0	0
chr11	120421609	120463015	refGene.NM_152715.1	0	+	120421609	120463015	0	7	133,140,182,257,127,117,319,	0,1837,7860,9361,12654,14278,41087,	1	0	1	0	0.494618	0	1	0	1	0	1	0	1	0	0.496759	0	1	0	0	0	0	0
chr11	124971020	124995915	refGene.NM_152713.1	0	+	124971020	124995915	0	17	88,61,122,146,91,107,165,181,156,92,156,189,117,103,189,116,39,	0,1143,6387,6887,8241,9713,10385,12193,13518,15512,16676,17073,18171,18408,22457,24095,24856,	1	0	1	0	0.478601	0	1	0	0.493769	0	0.498404	0	1	0	0.491315	0	1	0	0	0	0	0
chr10	72202294	72211734	refGene.NM_152710.1.inc	0	-	72202294	72211734	0	7	34,145,82,183,80,150,172,	0,1680,2656,4620,6024,7060,9268,	1	0	2	0	1	0	2	0	0.451291	0	1	0	0.491134	0	1	0	1	0	0	0	0	0
chr10	69913194	69957138	refGene.NM_152707.1	0	-	69913194	69957138	0	9	157,69,163,67,122,64,134,93,130,	0,3712,5035,9700,10017,20200,23153,33319,43814,	0.37159	0	2	0	0.133857	0	2	0	2	0	0.0850493	0	0.183958	0	2	0	2	0	0	0	0	0
chr7	88261430	88262192	refGene.NM_152706.1	0	-	88261430	88262192	0	1	762,	0,	1	0	1	0	1	0	1	0	1	0	0.361367	0	0.477047	0	0.479303	0	1	0	0	0	0	0
chr13	27094120	27138090	refGene.NM_152705.1	0	+	27094120	27138090	0	3	26,75,268,	0,26395,43702,	1	0	0.402637	0	0.489675	0	2	0	2	0	0.497354	0	0.499023	0	1	0	1	0	0	0	0	0
chr7	92598465	92603220	refGene.NM_152703.1	400	-	92598465	92603220	255	1	4755,	0,	0.24895	0	1	0	1	0	0.00288314	0	0.414366	0	1	0	1	0	1	0	0.484137	0	0	0	0	0
chr3	198096449	198142191	refGene.NM_152699.1	400	+	198096449	198142191	255	9	1513,106,139,48,78,138,84,51,111,	0,14484,14742,15183,18351,38232,42614,44451,45631,	1	0	0.48912	0	0.0570188	0	2	0	2	0	1	0	1	0	0.291574	0	0.00318952	0	0	0	0	0
chr2	131236115	131238701	refGene.NM_152698.1	0	+	131236115	131238701	0	1	2586,	0,	1	0	2	0	2	0	2	0	2	0	0.495348	0	0.370082	0	2	0	2	0	0	0	0	0
chr1	75444879	75779720	refGene.NM_152697.1	400	-	75444879	75779720	255	23	113,85,89,71,74,104,95,263,88,93,100,132,113,84,124,61,126,85,85,74,49,39,13,	0,4861,7098,7312,7998,9147,11259,11883,12650,13193,15754,21119,27379,30380,31906,35394,36279,44603,68351,94005,132975,189976,334828,	0.00159	0	2	0	1	0	2	0	2	0	1	0	0.499023	0	1	0	0.494444	0	0	0	0	0
chrX	134308709	134322667	refGene.NM_152695.1	0	+	134308709	134322667	0	4	354,205,114,884,	0,1991,12773,13074,	1	0	0.341392	0	1	0	2	0	2	0	0.494164	0	1	0	0.478885	0	1	0	0	0	0	0
chr6	62448826	63053812	refGene.NM_152688.1	0	-	62448826	63053812	0	9	98,59,83,199,128,147,117,128,91,	0,16232,51719,213672,220281,297103,366915,496222,604895,	1	0	2	0	1	0	1	0	0.499202	0	0.497743	0	0.497815	0	2	0	2	0	0	0	0	0
chr5	57826165	57826549	refGene.NM_152687.1.inc	0	+	57826165	57826549	0	1	384,	0,	0.36407	0	0.493254	0	0.497966	0	0.316833	0	0.051702	0	0.498129	0	0.480006	0	1	0	0.240324	0	0	0	0	0
chr5	138777735	138803033	refGene.NM_152686.1	0	-	138777735	138803033	0	8	125,173,110,110,186,146,187,40,	0,5905,8560,10857,12024,14390,23224,25258,	1	0	0.463483	0	1	0	2	0	2	0	1	0	1	0	0.44818	0	1	0	0	0	0	0
chr4	153769147	153820535	refGene.NM_152680.1	0	-	153769147	153820535	0	7	16,58,86,28,39,261,64,	0,12382,14542,15869,23992,24121,51324,	0.25531	0	2	0	0.47846	0	2	0	1	0	0.470004	0	1	0	2	0	2	0	0	0	0	0
chr4	48180464	48185584	refGene.NM_152679.1.inc	0	+	48180464	48185584	0	3	461,211,384,	0,1241,4736,	1	0	2	0	1	0	2	0	0.159249	0	2	0	2	0	2	0	0.448512	0	0	0	0	0
chr3	57589625	57653605	refGene.NM_152678.1.inc	0	-	57589625	57653605	0	19	27,103,110,54,90,65,66,95,96,123,56,63,80,106,81,113,43,39,57,	0,1562,1856,2066,4406,5699,5845,12794,16802,17457,28821,30259,31901,32587,34777,37264,43397,43541,63923,	1	0	1	0	1	0	1	0	1	0	0.484532	0	0.483297	0	1	0	1	0	0	0	0	0
chr19	62879325	62882085	refGene.NM_152677.1	400	+	62879325	62882085	255	3	396,166,740,	0,1768,2020,	0.00187	0	2	0	2	0	2	0	2	0	1	0	0.499202	0	2	0	2	0	0	0	0	0
chr3	197429173	197444365	refGene.NM_152672.1.inc	400	+	197429173	197444365	255	8	31,155,74,159,112,147,106,35,	0,9059,9758,10209,10903,12009,14513,15157,	0.26895	0	1	0	0.193541	0	1	0	0.35589	0	0.429709	0	0.462344	0	0.423021	0	0.00262284	0	0	0	0	0
chr2	88606277	88610107	refGene.NM_152670.1	0	+	88606277	88610107	0	3	27,93,423,	0,760,3407,	1	0	0.334396	0	1	0	0.0815087	0	0.478527	0	1	0	0.407261	0	0.0790799	0	1	0	0	0	0	0
chr20	25544560	25552584	refGene.NM_152667.1	0	-	25544560	25552584	0	2	657,90,	0,7934,	1	0	1	0	1	0	2	0	2	0	2	0	2	0	2	0	0.491594	0	0	0	0	0
chr1	66992929	67015725	refGene.NM_152665.1	0	+	66992929	67015725	0	4	119,92,125,204,	0,15728,21620,22592,	0.32926	0	0.306532	0	0.479287	0	1	0	0.494274	0	0.442406	0	0.364323	0	0.490679	0	1	0	0	0	0	0
chr1	177012522	177152117	refGene.NM_152663.1	400	+	177012522	177152117	255	19	57,105,51,84,90,93,127,138,91,68,136,152,55,78,106,93,106,92,30,	0,7653,8792,31280,34550,44847,56659,100733,102137,106701,108311,109204,112877,115465,117154,120899,125341,130011,139565,	1	0	0.342403	0	1	0	0.0322036	0	1	0	1	0	1	0	0.4963	0	1	0	0	0	0	0
chr1	27925178	27959679	refGene.NM_152660.1	0	+	27925178	27959679	0	9	81,65,55,153,158,87,136,102,87,	0,1391,6522,7950,18573,22987,29114,33445,34414,	1	0	1	0	1	0	2	0	2	0	0.497354	0	0.498507	0	1	0	1	0	0	0	0	0
chr19	12941474	12945448	refGene.NM_152654.1	0	+	12941474	12945448	0	2	324,246,	0,3728,	1	0	2	0	0.269103	0	2	0	0.452816	0	1	0	1	0	1	0	1	0	0	0	0	0
chr3	23225194	23606326	refGene.NM_152653.1	0	+	23225194	23606326	0	5	176,51,133,148,98,	0,8562,290908,323854,381034,	1	0	0.492265	0	1	0	1	0	1	0	0.497015	0	0.496759	0	1	0	0.498046	0	0	0	0	0
chr16	30316255	30317746	refGene.NM_152652.1.inc	0	+	30316255	30317746	0	1	1491,	0,	0.21592	0	0.274505	0	1	0	1	0	0.143636	0	1	0	1	0	1	0	0.492537	0	0	0	0	0
chr10	124598752	124600021	refGene.NM_152644.1	0	-	124598752	124600021	0	2	193,92,	0,1177,	0.25933	0	2	0	2	0	2	0	2	0	1	0	0.0547999	0	2	0	2	0	0	0	0	0
chr12	44497850	44571866	refGene.NM_152641.1.inc	400	+	44497850	44571866	255	13	88,68,67,251,97,210,168,82,135,197,2861,149,37,	0,3619,18788,18940,19520,19697,21528,29055,31035,31779,32235,43000,73979,	1	0	1	0	0.0723828	0	0.480069	0	0.247747	0	1	0	0.444599	0	0.0193889	0	0.455327	0	0	0	0	0
chr12	1925632	1983858	refGene.NM_152640.1	0	-	1925632	1983858	0	9	81,249,873,129,136,67,128,41,150,	0,2880,6210,9226,19352,21638,47058,51729,58076,	0.42446	0	2	0	0.488931	0	2	0	0.331026	0	1	0	0.475932	0	1	0	1	0	0	0	0	0
chr12	89871429	89872650	refGene.NM_152638.1	0	-	89871429	89872650	0	1	1221,	0,	0.37655	0	2	0	0.0881469	0	2	0	0.424778	0	0.284621	0	1	0	2	0	2	0	0	0	0	0
chr12	54361955	54364100	refGene.NM_152637.1	0	+	54361955	54364100	0	2	348,237,	0,1908,	1	0	1	0	0.482589	0	0.47483	0	0.212804	0	1	0	0.499202	0	0.407795	0	0.467275	0	0	0	0	0
chr10	74323562	74362288	refGene.NM_152635.1	0	+	74323562	74362288	0	9	61,375,108,123,123,161,416,100,171,	0,4865,6578,12797,17918,19509,30430,36739,38555,	0.32472	0	1	0	1	0	2	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0
chrX	35854096	35903878	refGene.NM_152632.1.inc	400	+	35854096	35903878	255	14	110,116,139,229,161,128,236,190,214,156,187,97,217,169,	0,15224,22255,25072,25744,27533,29902,40506,41560,44709,45527,45810,49088,49613,	0.03487	0	2	0	0.214582	0	2	0	1	0	0.416799	0	0.463423	0	0.277487	0	0.0685447	0	0	0	0	0
chrX	79584694	79585864	refGene.NM_152630.1	400	+	79584694	79585864	255	1	1170,	0,	1	0	0.0067124	0	0.120185	0	1	0	1	0	0.420216	0	0.110394	0	0.141347	0	0.463832	0	0	0	0	0
chr8	101658458	101730686	refGene.NM_152628.1.inc	400	-	101658458	101730686	255	12	21,78,114,204,93,70,88,91,111,65,115,9,	0,7056,11811,19584,23294,31439,34945,35940,40565,53272,58842,72219,	0.00744	0	2	0	0.242946	0	2	0	2	0	1	0	1	0	0.303417	0	0.0817143	0	0	0	0	0
chr7	64476345	64502223	refGene.NM_152626.1	0	+	64476345	64502223	0	4	3,127,96,1535,	0,13904,14808,24343,	1	0	2	0	2	0	2	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0
chr5	71775338	71793079	refGene.NM_152625.1	0	-	71775338	71793079	0	4	536,175,192,1332,	0,3487,12648,16409,	1	0	2	0	0.471229	0	2	0	0.398575	0	1	0	0.473093	0	1	0	1	0	0	0	0	0
chr5	112349503	112376954	refGene.NM_152624.1.inc	400	+	112349503	112376954	255	10	79,128,99,153,113,108,136,105,52,38,	0,6213,6764,15176,15449,15659,18034,22030,24848,27413,	0.2829	0	1	0	0.497815	0	1	0	0.00101441	0	0.495816	0	1	0	0.497354	0	1	0	0	0	0	0
chr4	109036158	109051158	refGene.NM_152621.1	0	+	109036158	109051158	0	5	455,118,154,167,204,	0,4021,7679,13011,14796,	1	0	0.114294	0	0.478269	0	1	0	0.423108	0	1	0	1	0	1	0	1	0	0	0	0	0
chr4	166180815	166181949	refGene.NM_152620.1.inc	0	+	166180815	166181949	0	1	1134,	0,	1	0	2	0	0.464321	0	2	0	2	0	1	0	1	0	0.475147	0	1	0	0	0	0	0
chr4	123882497	123884630	refGene.NM_152618.1	400	+	123882497	123884630	255	1	2133,	0,	1	0	0.163393	0	0.0223917	0	1	0	1	0	0.0019163	0	0.430635	0	0.485248	0	1	0	0	0	0	0
chr3	197683257	197714270	refGene.NM_152617.1.inc	400	-	197683257	197714270	255	6	783,82,122,180,77,130,	0,3241,11780,15409,16617,30883,	0.0067	0	2	0	0.483297	0	2	0	2	0	1	0	0.499202	0	2	0	2	0	0	0	0	0
chr3	141879761	141902506	refGene.NM_152616.1	400	+	141879761	141902506	255	5	341,698,821,225,87,	0,4232,9492,12738,22658,	1	0	1	0	1	0	0.0106049	0	0.479241	0	0.469537	0	0.312707	0	1	0	1	0	0	0	0	0
